pet,Global Pet Foods,Yonge Street,
dry_cleaning,Sketchley Cleaners,Dundas Street West,
beauty,Everest Nail Salon,Dundas Street West,
mobile_phone,Ming Wireless,Dundas Street West,
furniture,Mille Luce Designs Inc.,Yonge Street,
travel_agency,Uniglobe Travel,Yonge Street,
shoes,Shoesette,Yonge Street,
vacant,Carlson Wagonlit,Yonge Street,
hairdresser,Topcuts,Yonge Street,
tanning,Midnight Sun Tanning Salon,Yonge Street,
optician,Optic Creations,Yonge Street,
florist,Grower's Flower Market & Gifts,Avenue Road,
printing,Signs & Prints,Bay Street,
hairdresser,Venus Nails & Esthetics,Bay Street,
hairdresser,My Touch Beauty Spa & Salon,Wellesley Street West,
art,Native Art,Wellesley Street West,
chemist,Cosmetic World,Yonge Street,
furniture,Paul's Ontario Furniture Warehouse,Keele Street,
shoes,D&M Footwear,Yonge Street,
hairdresser,Ralph's Barber Shop,Wellesley Street West,
hairdresser,iQ Salon Scavo,Yonge Street,
tanning,Bellair Tan,Yonge Street,
bed,Sleep Country,Yonge Street,
sports,Running Room,Yonge Street,
convenience,7-Eleven,Carlton Street,
mobile_phone,Bell,Bayview Avenue,
massage,Sutherland-Chan Clinic,Yonge Street,
optician,Tonic Eye Care & Vision Therapy,Yonge Street,
beauty,Pedimani Nail Spa,Yonge Street,
clothes,Arc'teryx,Queen Street West,
vacant,Holy Cow Steakhouse,Queen Street West,
clothes,Pink,Queen Street West,
stationery,printandpaper.com,Bloor Street West,
hairdresser,André Pierre,Bloor Street West,
vacant,McMaster University,Bloor Street West,
vacant,The Healthy Butcher,Eglinton Avenue West,
furniture,Au Lit Fine Linens,Yonge Street,
hairdresser,Caesar Hair Design,Yonge Street,
hairdresser,Solo Bace,Yonge Street,
electronics,Aden,Yonge Street,
vacant,Convenience Milk,Yonge Street,
kitchen,Binns Kitchen + Bath Design,Bay Street,
dry_cleaning,Excelsior Cleaners,Bay Street,
toys,Strategy Games & Accessories,Mount Pleasant Road,
boxes,The Box Spot,Mount Pleasant Road,
books,Coles,Sheppard Avenue East,
mobile_phone,Bell,Sheppard Avenue East,
mobile_phone,Rogers,Sheppard Avenue East,
clothes,Aritzia,Sheppard Avenue East,
seafood,Pisces Gourmet,Yonge Street,
shoes,New Balance,Yonge Street,
vacant,i.D. Eyewear,Yonge Street,
computer,Midtown Digital,Yonge Street,
cosmetics,Essence de Beauté,Yonge Street,
clothes,Urban Outfitters,Queen Street West,
convenience,Brothers Convenience,Queen Street West,
hairdresser,Joe's Men's Hairstylist,Grenville Street,
convenience,Bellair Coffee Plus Convenience,Bay Street,
video_games,EB Games,Yonge Street,
jewelry,Downtown Jewellery Mart,Yonge Street,
clothes,Kingsport Big & Tall Clothiers,Eglinton Avenue West,
greengrocer,Fresh Harvest,Eglinton Avenue West,
convenience,H Mart,Yonge Street,
health_food,Tavazo Dried Nuts & Fruits,Yonge Street,
hairdresser,Ho Team Nails Hair Beauty Salon,Wellesley Street East,
wine,Wine Rack,Wellesley Street East,
hairdresser,Terminal Barber Shop 2,Dundas Street West,
bakery,Phipps Bakery Cafe,Eglinton Avenue West,
summer_camp,Camp Walden,Limestone Crescent,
department_store,Winners,Bloor Street West,
craft,DeSerres,Spadina Avenue,
hairdresser,Lee's Hair Salon,St. Clair Avenue West,
clothes,Diesel,Yorkville Avenue,
cosmetics,MAC Cosmetics,Queen Street West,
clothes,Aritzia,Queen Street West,
clothes,The Great Canadian Sox Shop,Queen Street West,
massage,Stillwater A Park Hyatt Spa,Avenue Road,
hairdresser,Yäda Hair Salon,Davenport Road,
furniture,The European Furniture,Keele Street,
curtain,Mayfair Drapery & Rug,Keele Street,
car_parts,Too Fast Auto Accessories & Performance Parts,Keele Street,
bakery,Brazil Bakery And Pastry Ltd,Dundas Street West,
convenience,S Market,College Street,
vacant,Mamma's Pizza,Eglinton Avenue East,
vacant,The Source,Eglinton Avenue East,
vacant,CIBC,Eglinton Avenue East,
vacant,Frame Express,Eglinton Avenue East,
convenience,Bayview Jug Milk,Bayview Avenue,
hairdresser,Kim's Nails Salon Too,Bayview Avenue,
hearing_aids,Global Hearing Aid Clinic,Bayview Avenue,
dry_cleaning,Golden Thread Dry Cleaners,Queens Quay West,
dry_cleaning,Lincare Dry Cleaners Ltd.,Queens Quay West,
sports,Running Room,Hanna Avenue,
furniture,west elm,Atlantic Avenue,
hairdresser,King Barberia,King Street West,
paint,Benjamin Moore,King Street West,
hairdresser,Topcuts,King Street East,
massage,Beauty Buzz Studio,King Street East,
variety_store,Your Dollar Store With More,East Liberty Street,
furniture,Imperial Carpet & Home Inc.,Caledonia Road,
hearing_aids,MG Hearing Systems Inc.,Lawrence Avenue West,
massage,CCMH Toronto Student Intern Clinic,Davisville Avenue,
optician,Eyeglass World,St. Clair Avenue West,
car,Gyro Mazda,Laird Drive,
deli,European Eatery & Delights,Yonge Street,
hairdresser,Church Street Barber Shop,Church Street,
hairdresser,J Z Hair Design,Church Street,
photography,Forest Hill Photos,Spadina Road,
hearing_aids,Hearing Solutions,St. Clair Avenue East,
seafood,Yonge Seafood Gourmet,Yonge Street,
paint,Sherwin-Williams,Queen Street East,
convenience,Park Discount,Queen Street East,
furniture,Coxwell Furniture,Coxwell Avenue,
sports,L&M Taylor Soccer,Yonge Street,
hairdresser,House of Dumont Hair Studio,Carlton Street,
